id,name,address,city,state,zip,monday,tuesday,wednesday,thursday,friday,saturday,sunday,comments,brew_type,website,x,y,created_by
216,56 Brewing Co,3055 Columbia St NE,Minneapolis,MN,55418,4pm-10pm,4pm-10pm,4pm-10pm,4pm-11pm,12pm-12am,12pm-12am,11am-8pm,,Brewery,http://56brewing.com/,-93.27284364999997,45.02367900000006,1
217,Tin Whiskers Brewing Co,125 E 9th St,St Paul,MN,55101,,4pm-10pm,4pm-10pm,4pm-10pm,3pm-11pm,12pm-11pm,12pm-8pm,,Brewery,http://twbrewing.com/,-93.09347398999994,44.95071801000005,1
218,Urban Growler,2325 Endicott St,St Paul,MN,55114,,11am-10pm,11am-10pm,11am-10pm,11am-11pm,11am-11pm,11am-8pm,,Brewery,http://www.urbangrowlerbrewing.com/,-93.19347859899995,44.970128977000066,1
221,Wayzata Brew Works,294 Grove Ln E,Wayzata,MN,55391,4pm-10pm,4pm-10pm,4pm-10pm,4pm-10pm,2pm-12am,12pm-12am,12pm-8pm,,Brewery,http://www.wayzatabrewworks.com/,-93.51806344499994,44.96991746600003,1
223,Schram Vineyards Winery & Brewery,8785 Airport Rd,Waconia,MN,55387,,,,1pm-9pm,1pm-9pm,12pm-9pm,12pm-5pm,summer hours April - October,Brewery,http://schramvineyards.com/,-93.74582265799995,44.84415653600007,1
224,ENKI Brewing Co,1495 Stieger Lake Ln,Excelsior,MN,55331,,4pm-10pm,4pm-10pm,4pm-10pm,2pm-10pm,12pm-10pm,12pm-7pm,new location,Brewery,http://www.enkibrewing.com/,-93.62375999999995,44.86865000000006,1
225,Hoops Brewing,325 Lake Ave S,Duluth,MN,55802,11am-12am,11am-12am,11am-12am,11am-12am,11am-12am,11am-12am,11am-12am,,Brewery,https://hoopsbrewing.com/,-92.095740397,46.78310451700001,1
226,Big Axe Brewing Co,25435 Main St,Nisswa,MN,56468,12pm-9pm,12pm-9pm,12pm-9pm,12pm-9pm,12pm-11pm,12pm-10pm,12pm-6pm,,Brewery,http://www.bigaxebrewing.com/,-94.28876364999998,46.51988998300004,1
227,Lupine Brewing Co,248 N. River St,Delano,MN,55328,,,4pm-10pm,4pm-10pm,4pm-11pm,2pm-11pm,2pm-6pm,,Brewery,http://lupinebrewing.com,-93.78929209999995,45.04271374900003,1
228,Starkeller Brewing Co,2215 N Garden St,New Ulm,MN,56073,,,,,4pm-8pm,12pm-8pm,12pm-4pm,owned by Schell's,Brewery,http://schellsbrewery.com/locations/starkeller-brewery/,-94.49195056699995,44.332827189000064,1
229,Bank Brewing Co,200 S Main St,Hendricks,MN,56136,,,,,4pm-8pm,4pm-8pm,,,Brewery,http://www.bankbrewing.com,-96.42578382599999,44.50599666800007,1
230,Day Block Brewing Co,1105 Washington Ave S,Minneapolis,MN,55415,11am-1am,11am-1am,11am-1am,11am-1am,11am-1am,11am-1am,11am-1am,,Brew Pub,https://www.dayblockbrewing.com,-93.25294126499993,44.97517565500004,1
232,Lazy Loon Lanes,305 Wilson St E,Norwood Young America,MN,55368,1pm-8pm,1pm-8pm,1pm-8pm,1pm-8pm,1pm-10pm,1pm-10pm,1pm-8pm,"bowling, guest beer, wine, other drink options",Brew Pub,http://lovetheloon.com/bowling.html,-93.92138567799998,44.77042757200007,1
233,Dubh Linn Irish Brew Pub,109 W Superior St,Duluth,MN,55802,11am-2am,11am-2am,11am-2am,11am-2am,11am-2am,11am-2am,,2016 - 150 barrels produced,Brew Pub,https://dubhlinnpub.com/,-92.09982991099997,46.78565603100002,1
234,Reads Landing Brewing Co,70555 202nd St,Reads Landing,MN,55968,,,11am-9pm,11am-9pm,11am-10pm,11am-10pm,12pm-9pm,,Brew Pub,https://www.rlbrewingco.com,-92.07884311199996,44.40287764000004,1
235,Hoppy Girl Brewing,136 Bridge Ave,Wabasha,MN,55981,late summer 17,confused on the name,,,,,,,Brew Pub,http://www.hoppygirlbrewing.com,-92.03564506499998,44.38443975000007,1
